290844,,
2C3237,,
A7855B,,
401829,P28A,
A22419,EC30,
780BA5,B738,CSN
DCF289,,
A58FE9,CRJ2,AWI
399A6B,SR20,
A71B6D,B737,SWA
71C008,B773,KAL
4BB844,A320,PGT
4BAA0E,A320,THY
780601,A320,CES
A1A88D,C206,
ACC309,C56X,
0D08E6,A320,VIV
780895,B738,CDG
3C6306,B737,BER
405D0D,A319,EZY
A0A91E,B752,UAL
A9BA12,B722,KFS
3C0A44,B738,SXD
3964EF,B738,TVF
4CA727,B738,RYR
A89584,E170,RPA
ACE5B6,B738,AAL
ADC8E7,A321,AAL
491314,C56X,NJE
3946E9,A319,AFR
A6C365,CRJ7,ENY
47873E,B738,NAX
C04688,E545,ASP
A24C99,B737,UAL
C1E0FD,,
2900D2,,
5DA3E6,,
AC0041,CRJ2,FLG
3999E6,C525,
3995EA,C172,
4B17A0,RJ1H,SWR
AB39F0,B738,SCX
AA6C9B,B737,SWA
780B1D,A320,CSZ
E48DB1,B738,GLO
4062BA,CRUZ,
A4E2DA,DA40,
484EE5,B738,TRA
AA8A07,B753,UAL
9BBB2E,,
A3244F,B738,AAL
780A6D,A333,CRK
A1090E,C560,
4064EF,AP22,
A82E2C,B733,SWA
ACE3D2,BE58,
A6503F,CRJ7,ENY
A0A98A,E145,LOF
42430B,A321,SVR
ABE6CD,C560,
78095F,A320,DKH
F7AFCC,,
F216F4,,
E0B366,,
6070E5,,
3C49ED,B753,CFG
731EDE,,
45AC3E,,
9FAD26,,
FB1E48,,
4062A0,DR40,
05AF74,,
09E0E8,,
4010EF,RV9,
EE5E55,,
EE11D6,,
AD9A71,C208,
40108A,R44,
A285C2,C402,
3C0979,A320,LLX
A7E0DE,P28R,
A9A74F,RV7,
A6ACED,C172,
4B1980,CL60,SAZ
0510A4,,
A2E907,,
414244,,
2E3730,,
AC83D5,CRJ9,
D75865,,
11219C,,
A95633,C750,
400154,A320,AFL
AAD213,B772,AAL
F21615,,
A6086F,,
399003,EC35,
580CA9,,
290F0E,,
290546,,
84D95C,,
66FFD8,,
4BA8F1,,
B951FC,,
77C471,,
3BEAF8,,
4BA742,B738,PGT
7BE014,B763,CHH
A4F2D3,B763,
A042F1,P28R,
AC5869,C208,
AAAA98,T28,
298F73,,
A89BAB,A320,AAL
ACAD7B,CRJ9,ASH
70A26C,,
5CA856,,
32E942,,
2A40EB,,
780488,A321,CSN
E08A6D,,
396630,,
4738E2,DO28,
754829,,
303A31,,
4B5286,,
422613,,
095F5A,,
350843,,
82C88D,,
725165,,
1EEC6A,,
4CA12D,,
E53E66,,
3C7583,,
383315,,
4B8642,CL30,
53E896,,
382D65,,
AC28B6,P28R,
A03397,E145,UCA
A7C8B3,CRJ7,ASQ
A7C8F5,E35L,
7583A8,A321,PAL
73D142,,
484CBE,GLID,
34264E,,
7C4926,A388,QFA
03AECB,,
3FC8F2,,
449C09,,
